loan_amnt,term,int_rate,grade,emp_length,home_ownership,annual_inc,dti,delinq_2yrs,revol_util,total_acc,purpose,age,default
8450, 36 months,16.77,B,8 years,RENT,89980,3.36,0,47.26,8,small_business,43,0
31060, 60 months,21.69,D,8 years,MORTGAGE,54203,19.44,1,70.08,12,debt_consolidation,46,0
16603, 60 months,23.65,A,10+ years,RENT,89131,24.41,1,78.07,43,debt_consolidation,43,0
25125, 60 months,21.51,C,< 1 year,RENT,106633,11.93,0,82.8,18,debt_consolidation,34,0
14993, 36 months,8.78,A,2 years,MORTGAGE,44674,13.48,0,45.2,35,debt_consolidation,25,1
6886, 36 months,19.25,C,4 years,MORTGAGE,137135,11.39,0,44.4,22,debt_consolidation,54,0
13619, 36 months,22.6,A,6 years,RENT,43622,15.0,1,47.34,11,debt_consolidation,24,1
4118, 36 months,18.62,A,10+ years,OWN,43838,23.1,0,96.9,28,debt_consolidation,67,0
27188, 36 months,18.72,E,1 year,RENT,81200,13.22,0,92.92,8,debt_consolidation,24,1
7240, 36 months,15.0,A,2 years,MORTGAGE,78247,43.0,1,62.27,44,debt_consolidation,72,0
13796, 36 months,17.74,D,3 years,OWN,67154,10.93,0,28.43,31,debt_consolidation,50,0
34320, 36 months,10.89,B,7 years,MORTGAGE,89548,27.4,0,90.04,31,debt_consolidation,44,0
21126, 36 months,6.78,A,10+ years,RENT,72579,19.9,0,17.09,4,major_purchase,66,1
16591, 36 months,21.55,B,10+ years,RENT,126972,15.98,0,10.68,14,debt_consolidation,44,1
19462, 36 months,23.86,E,8 years,MORTGAGE,63403,28.24,0,41.46,19,debt_consolidation,28,1
27658, 36 months,22.14,B,8 years,RENT,39365,0.6,0,68.53,17,debt_consolidation,48,1
9652, 36 months,11.68,A,4 years,RENT,48449,18.83,0,5.26,7,major_purchase,47,0
22637, 60 months,6.87,C,6 years,RENT,79140,8.55,0,31.29,4,major_purchase,70,0
30671, 60 months,10.6,B,1 year,OWN,79579,11.08,0,78.41,28,debt_consolidation,48,1
20462, 36 months,21.86,E,5 years,RENT,71194,10.65,0,65.92,20,debt_consolidation,25,0
16182, 36 months,18.12,G,3 years,OWN,39515,6.33,0,8.45,13,debt_consolidation,39,0
5934, 36 months,24.33,C,10+ years,RENT,98259,0.13,1,20.18,27,debt_consolidation,37,0
9441, 36 months,11.85,C,4 years,OWN,123110,18.5,0,72.52,44,debt_consolidation,33,1
33164, 36 months,16.03,B,4 years,MORTGAGE,65877,14.41,0,11.66,42,debt_consolidation,31,1
19402, 36 months,20.8,G,4 years,RENT,119318,12.29,0,0.97,39,debt_consolidation,25,1
11245, 60 months,9.68,C,9 years,OWN,90988,21.83,0,99.27,14,debt_consolidation,62,0
15224, 60 months,24.28,A,10+ years,OWN,131561,19.07,0,61.39,10,debt_consolidation,42,1
20652, 60 months,16.85,G,4 years,RENT,79179,12.6,1,42.9,13,debt_consolidation,41,1
19276, 36 months,5.16,G,10+ years,MORTGAGE,69098,42.46,0,59.71,16,debt_consolidation,44,0
24792, 36 months,5.5,B,8 years,MORTGAGE,90272,24.16,1,67.02,3,major_purchase,73,1
9754, 60 months,22.64,B,9 years,MORTGAGE,51992,37.0,0,49.55,16,debt_consolidation,58,0
23073, 36 months,17.91,D,10+ years,MORTGAGE,77214,11.27,0,65.81,27,debt_consolidation,73,0
16051, 36 months,20.26,E,3 years,OWN,104921,17.25,0,70.86,13,major_purchase,53,1
32980, 36 months,20.68,C,6 years,OWN,89585,3.86,0,17.95,44,debt_consolidation,68,1
6369, 36 months,13.41,B,3 years,RENT,64071,12.03,0,42.37,38,debt_consolidation,70,0
6046, 36 months,20.97,B,3 years,OTHER,71012,9.74,2,30.46,18,credit_card,48,1
16696, 36 months,23.75,B,5 years,OWN,87730,41.96,1,79.73,20,debt_consolidation,47,1
18283, 36 months,8.44,A,< 1 year,RENT,86733,8.77,1,76.99,23,debt_consolidation,71,1
24489, 36 months,20.28,D,2 years,MORTGAGE,87502,12.89,0,81.06,16,credit_card,59,0
14737, 36 months,11.16,A,8 years,OWN,75183,1.92,0,43.75,5,debt_consolidation,41,1
32066, 36 months,11.43,B,1 year,MORTGAGE,40264,19.8,0,57.53,19,home_improvement,38,1
17121, 36 months,13.26,E,6 years,MORTGAGE,45045,6.9,1,70.56,26,debt_consolidation,42,0
5397, 60 months,22.27,B,8 years,MORTGAGE,78835,23.27,0,32.21,13,debt_consolidation,34,1
5053, 36 months,5.44,B,2 years,OWN,89944,0.0,1,97.77,11,debt_consolidation,46,1
34095, 36 months,13.68,F,5 years,OWN,86058,13.91,0,37.86,24,debt_consolidation,57,0
5559, 36 months,18.6,A,9 years,MORTGAGE,44743,0.0,1,53.7,3,credit_card,58,0
33226, 36 months,7.21,E,9 years,RENT,60465,10.59,0,82.68,34,credit_card,23,1
10454, 60 months,20.85,A,10+ years,RENT,29772,12.42,0,74.71,31,debt_consolidation,24,0
4175, 36 months,23.84,B,6 years,OTHER,23257,9.61,0,50.16,43,major_purchase,54,1
11359, 36 months,6.82,D,9 years,MORTGAGE,67444,10.5,0,40.83,9,debt_consolidation,49,0
21899, 36 months,8.06,B,4 years,OTHER,105745,23.74,0,63.71,36,other,24,1
15548, 36 months,24.48,C,6 years,RENT,67994,34.57,0,43.57,7,debt_consolidation,73,1
27709, 60 months,8.96,A,7 years,RENT,122244,18.05,0,59.2,35,credit_card,73,0
21773, 36 months,6.58,C,10+ years,MORTGAGE,60077,7.26,0,80.0,12,credit_card,24,1
14626, 60 months,24.04,A,4 years,RENT,65937,15.58,0,12.18,37,debt_consolidation,21,1
22577, 60 months,22.85,E,9 years,OWN,35270,11.81,0,69.73,8,credit_card,25,1
34029, 36 months,18.11,C,5 years,RENT,54583,23.0,0,5.38,37,debt_consolidation,56,1
15001, 36 months,16.03,C,1 year,MORTGAGE,29302,17.59,1,73.4,29,credit_card,71,1
6217, 36 months,23.38,A,7 years,OWN,18640,0.8,1,20.92,4,home_improvement,42,0
14898, 36 months,18.11,C,10+ years,RENT,29812,24.88,0,49.34,14,debt_consolidation,65,1
29563, 36 months,18.17,C,4 years,OWN,67558,23.7,0,26.7,22,debt_consolidation,32,0
8399, 36 months,21.87,B,6 years,RENT,42899,28.46,0,32.19,31,credit_card,21,0
33270, 36 months,18.06,D,10+ years,MORTGAGE,50004,10.35,0,62.87,33,debt_consolidation,47,0
21002, 36 months,15.07,A,10+ years,OWN,77296,17.71,0,43.12,25,debt_consolidation,45,1
21453, 36 months,12.79,A,4 years,OWN,18536,4.34,0,48.76,32,debt_consolidation,74,0
11779, 36 months,15.06,D,8 years,RENT,67431,14.54,1,99.89,17,debt_consolidation,37,1
32295, 36 months,15.45,A,6 years,RENT,90442,18.57,2,12.16,16,credit_card,44,0
2226, 60 months,12.22,A,7 years,RENT,93037,9.28,0,38.43,11,credit_card,30,0
11154, 36 months,13.96,D,7 years,MORTGAGE,80497,18.08,0,53.02,31,debt_consolidation,42,0
15225, 36 months,21.04,D,3 years,RENT,63435,16.51,0,81.37,31,debt_consolidation,23,1
17227, 36 months,13.33,A,3 years,OWN,46288,10.95,0,28.24,41,debt_consolidation,39,0
17120, 36 months,5.51,A,< 1 year,RENT,62529,27.58,0,39.38,25,small_business,34,1
6029, 36 months,10.66,B,9 years,OTHER,114604,12.89,0,82.13,28,credit_card,41,0
8670, 36 months,9.63,C,3 years,MORTGAGE,73192,16.2,0,53.04,33,debt_consolidation,56,0
4238, 60 months,20.87,C,7 years,RENT,61794,1.8,1,85.61,39,debt_consolidation,63,0
20463, 60 months,13.99,D,7 years,OWN,81911,19.67,0,6.43,24,home_improvement,37,1
12929, 60 months,10.61,D,7 years,OWN,66492,10.71,0,28.71,34,debt_consolidation,68,1
20236, 36 months,21.21,F,9 years,MORTGAGE,71774,23.61,2,55.78,36,debt_consolidation,37,0
21050, 36 months,5.38,B,9 years,OTHER,57598,3.2,0,12.2,27,debt_consolidation,25,1
24868, 36 months,8.49,A,< 1 year,MORTGAGE,52552,18.88,0,48.18,26,debt_consolidation,35,1
19599, 60 months,21.54,B,9 years,MORTGAGE,94880,0.0,0,1.76,31,major_purchase,33,1
23030, 36 months,16.01,A,2 years,OWN,8000,20.54,0,50.47,37,home_improvement,26,1
20963, 36 months,20.47,B,7 years,RENT,79358,13.43,1,92.03,26,debt_consolidation,56,1
23182, 36 months,21.76,E,7 years,OWN,50697,18.59,0,94.83,26,credit_card,53,0
21965, 36 months,23.84,B,< 1 year,MORTGAGE,8000,9.6,0,31.91,12,home_improvement,37,0
11751, 36 months,6.27,A,3 years,RENT,35762,6.46,2,0.35,43,debt_consolidation,60,0
9373, 36 months,20.98,C,10+ years,OWN,63919,11.09,0,91.21,5,home_improvement,32,1
27772, 36 months,19.18,G,1 year,RENT,68044,16.73,0,56.72,38,debt_consolidation,73,1
12651, 36 months,9.14,A,2 years,RENT,87200,20.19,1,58.06,19,debt_consolidation,39,1
19670, 36 months,23.63,D,< 1 year,MORTGAGE,89241,17.73,0,81.51,13,other,33,0
7697, 60 months,13.08,E,1 year,RENT,18599,6.57,0,39.34,12,credit_card,61,0
15668, 36 months,22.75,B,7 years,MORTGAGE,76325,31.54,0,42.01,33,debt_consolidation,29,0
19008, 36 months,17.1,C,9 years,RENT,86856,18.0,0,85.15,15,debt_consolidation,72,1
22284, 60 months,15.53,B,6 years,OWN,71568,9.4,0,49.15,8,credit_card,59,1
18896, 36 months,8.19,B,3 years,MORTGAGE,80073,18.82,1,73.58,22,credit_card,32,1
13262, 36 months,23.29,B,9 years,MORTGAGE,8000,17.3,0,90.5,41,debt_consolidation,38,0
33700, 36 months,16.13,A,4 years,MORTGAGE,35294,13.42,0,39.36,39,credit_card,73,0
18433, 60 months,5.12,D,3 years,RENT,105981,12.36,0,88.89,17,home_improvement,48,1
28482, 36 months,5.37,E,5 years,RENT,56609,23.86,0,32.74,30,home_improvement,50,1
26047, 36 months,20.55,B,1 year,MORTGAGE,131693,30.55,0,92.96,23,debt_consolidation,59,1
19982, 36 months,8.24,C,3 years,MORTGAGE,26647,0.0,0,30.54,19,other,34,0
31137, 36 months,16.97,A,8 years,MORTGAGE,111913,26.07,0,23.42,3,debt_consolidation,43,1
5361, 36 months,18.62,A,6 years,MORTGAGE,46679,15.18,1,72.08,9,credit_card,43,1
32315, 36 months,10.59,D,10+ years,RENT,90873,17.13,0,92.2,39,debt_consolidation,41,0
29907, 36 months,16.39,A,8 years,RENT,56139,27.16,0,76.81,43,small_business,37,1
18123, 60 months,9.81,E,3 years,MORTGAGE,68470,0.0,1,74.01,42,home_improvement,44,1
25935, 36 months,23.93,B,8 years,OWN,82866,22.33,0,97.3,43,major_purchase,63,0
18689, 36 months,22.2,E,9 years,MORTGAGE,46599,26.54,0,55.74,22,debt_consolidation,45,1
10137, 60 months,10.76,B,6 years,OWN,89033,8.8,0,88.76,5,credit_card,25,0
28195, 36 months,15.58,B,8 years,MORTGAGE,57024,2.45,0,3.71,10,debt_consolidation,21,0
9361, 60 months,15.01,D,5 years,MORTGAGE,70341,29.76,0,13.22,36,debt_consolidation,22,0
11691, 60 months,24.2,C,10+ years,RENT,8000,0.0,0,27.15,32,major_purchase,31,0
18655, 60 months,12.88,A,2 years,MORTGAGE,54880,18.77,0,94.61,44,credit_card,62,0
29471, 36 months,16.24,E,4 years,RENT,102906,24.21,0,19.69,15,credit_card,53,1
14053, 36 months,23.57,B,2 years,RENT,85840,18.57,0,38.31,19,debt_consolidation,39,0
17800, 36 months,8.26,A,1 year,MORTGAGE,91596,20.08,1,3.55,43,debt_consolidation,21,0
2416, 36 months,16.01,B,6 years,RENT,66600,12.61,1,7.82,41,debt_consolidation,38,0
4939, 36 months,7.11,C,1 year,RENT,115288,19.16,0,58.26,16,debt_consolidation,35,1
2902, 36 months,17.35,C,2 years,OWN,73653,8.62,0,9.77,43,small_business,47,1
3450, 60 months,12.31,E,8 years,OTHER,45197,9.79,1,89.92,27,debt_consolidation,44,1
30529, 36 months,24.35,C,2 years,RENT,90654,15.32,0,88.58,44,debt_consolidation,30,1
29627, 36 months,13.31,A,9 years,MORTGAGE,92678,1.14,0,62.22,5,debt_consolidation,44,1
28944, 36 months,7.72,B,< 1 year,OWN,83888,20.19,0,39.63,27,debt_consolidation,27,1
2889, 36 months,21.68,A,5 years,RENT,52912,0.0,0,88.78,44,debt_consolidation,23,0
3639, 36 months,21.42,D,< 1 year,MORTGAGE,73444,18.27,0,48.78,43,home_improvement,70,0
10540, 36 months,18.9,A,< 1 year,OWN,106800,19.11,0,19.06,27,debt_consolidation,68,1
20220, 60 months,19.98,C,8 years,MORTGAGE,79326,7.85,0,34.57,4,debt_consolidation,74,0
12360, 36 months,10.29,C,< 1 year,MORTGAGE,20667,3.89,0,36.31,43,debt_consolidation,25,1
17577, 36 months,17.84,E,9 years,OTHER,46137,11.33,1,57.98,9,credit_card,57,0
6881, 36 months,5.76,A,6 years,MORTGAGE,44742,20.76,0,40.12,15,debt_consolidation,68,1
25846, 36 months,8.94,A,5 years,RENT,42370,18.11,0,81.83,39,debt_consolidation,42,0
11672, 36 months,23.65,F,10+ years,MORTGAGE,8000,5.0,0,62.65,25,major_purchase,74,1
3262, 36 months,19.78,C,4 years,OWN,121717,15.95,0,25.21,13,debt_consolidation,73,0
26251, 36 months,9.61,C,4 years,RENT,38711,17.36,1,40.21,3,debt_consolidation,30,1
31694, 36 months,7.23,D,4 years,OWN,40882,16.98,0,72.32,10,home_improvement,67,1
1499, 36 months,23.98,F,7 years,MORTGAGE,8000,6.12,0,24.22,35,debt_consolidation,24,0
15846, 36 months,7.24,B,9 years,RENT,90993,16.4,0,9.16,33,home_improvement,29,0
29123, 36 months,10.14,F,5 years,RENT,62274,23.26,0,71.11,9,debt_consolidation,27,1
25009, 60 months,8.65,A,3 years,OWN,54473,19.83,1,40.67,40,debt_consolidation,73,1
30122, 36 months,5.15,G,9 years,RENT,56060,18.7,0,12.43,20,debt_consolidation,67,0
15117, 60 months,11.28,A,6 years,MORTGAGE,82634,29.78,1,47.95,32,debt_consolidation,36,0
13656, 36 months,24.48,B,9 years,RENT,50599,16.51,0,56.03,31,debt_consolidation,73,1
25111, 36 months,11.84,A,4 years,MORTGAGE,8000,7.42,0,2.58,7,debt_consolidation,27,0
6222, 36 months,15.09,E,2 years,MORTGAGE,26254,7.45,0,79.11,6,debt_consolidation,52,0
9140, 36 months,19.92,G,10+ years,RENT,24696,16.58,0,49.15,28,debt_consolidation,67,1
21428, 60 months,16.02,B,7 years,OWN,73260,2.06,0,2.55,35,debt_consolidation,72,1
23727, 36 months,19.87,B,3 years,RENT,92901,12.2,0,86.18,42,debt_consolidation,32,0
5068, 60 months,18.23,B,9 years,RENT,108974,19.18,1,58.53,36,debt_consolidation,62,0
18282, 60 months,17.17,A,< 1 year,OWN,15953,25.54,0,96.33,27,home_improvement,58,1
13407, 36 months,17.99,E,10+ years,RENT,83608,1.1,0,28.12,25,other,51,1
18059, 36 months,20.98,A,6 years,MORTGAGE,46548,15.89,0,41.26,19,debt_consolidation,64,0
33586, 36 months,19.2,G,6 years,OWN,152704,14.39,0,66.29,28,debt_consolidation,70,1
3604, 36 months,20.84,F,< 1 year,RENT,106507,15.34,0,91.4,43,debt_consolidation,28,0
34845, 36 months,7.91,A,1 year,RENT,116057,16.27,0,79.12,6,debt_consolidation,46,0
16285, 36 months,18.55,C,7 years,MORTGAGE,89073,14.71,0,64.3,23,debt_consolidation,32,1
27251, 60 months,19.74,G,6 years,RENT,76457,27.53,0,79.55,21,home_improvement,43,0
15432, 36 months,11.0,E,1 year,MORTGAGE,52923,26.2,0,9.48,15,small_business,41,1
11572, 36 months,22.49,D,7 years,RENT,47020,34.29,1,72.42,38,debt_consolidation,59,1
27200, 36 months,11.09,A,8 years,MORTGAGE,40997,14.9,1,57.86,25,debt_consolidation,54,1
24380, 36 months,9.88,A,2 years,RENT,83527,11.3,0,27.43,6,debt_consolidation,61,0
5897, 60 months,22.34,E,7 years,OWN,111812,6.29,0,23.85,32,credit_card,59,1
24983, 36 months,9.94,B,10+ years,OWN,54296,10.33,0,28.83,44,credit_card,40,1
26604, 60 months,13.31,D,5 years,RENT,43330,21.43,0,12.29,10,debt_consolidation,55,1
14186, 60 months,12.36,D,2 years,MORTGAGE,20495,22.82,0,27.33,23,debt_consolidation,46,0
32472, 60 months,22.96,B,10+ years,RENT,72341,21.08,0,7.13,13,credit_card,49,1
22790, 36 months,14.1,A,10+ years,RENT,101878,9.02,0,67.27,3,debt_consolidation,32,0
12343, 60 months,18.89,B,5 years,RENT,103380,9.07,0,51.23,21,credit_card,35,1
1364, 36 months,20.88,E,4 years,OWN,106353,32.61,0,12.77,17,debt_consolidation,27,0
23948, 36 months,17.56,B,9 years,MORTGAGE,77462,7.51,0,69.72,40,debt_consolidation,29,1
8107, 36 months,23.87,A,< 1 year,RENT,67706,27.75,0,17.8,24,debt_consolidation,39,0
26721, 36 months,21.05,F,3 years,MORTGAGE,103468,18.64,0,49.49,29,credit_card,30,1
18853, 36 months,13.0,D,5 years,MORTGAGE,31698,8.41,0,92.01,43,debt_consolidation,47,1
16868, 36 months,24.02,C,7 years,RENT,51775,4.34,0,76.09,25,debt_consolidation,59,1
6567, 36 months,15.49,E,6 years,RENT,116325,8.8,0,58.41,32,debt_consolidation,29,0
25191, 60 months,5.45,B,4 years,RENT,32762,18.76,0,58.49,25,home_improvement,32,0
6640, 36 months,10.2,G,9 years,RENT,63966,6.81,1,6.42,27,debt_consolidation,29,0
15203, 36 months,17.43,E,7 years,MORTGAGE,83940,28.99,0,42.7,11,home_improvement,64,1
29434, 36 months,8.14,B,5 years,OWN,67481,13.13,0,30.71,43,small_business,27,0
32292, 36 months,16.68,B,10+ years,RENT,99483,21.3,1,47.46,15,debt_consolidation,70,0
34630, 36 months,12.23,B,1 year,MORTGAGE,110770,20.58,0,95.14,15,small_business,68,1
33572, 36 months,15.69,D,7 years,RENT,79390,29.6,1,78.65,17,debt_consolidation,41,0
19902, 36 months,5.04,D,10+ years,MORTGAGE,106702,11.06,1,61.0,18,credit_card,58,0
7816, 60 months,21.97,C,7 years,OWN,37140,15.95,0,70.47,17,debt_consolidation,30,0
29528, 60 months,12.24,G,6 years,RENT,60274,2.39,0,73.06,35,credit_card,28,1
28255, 36 months,7.8,C,4 years,OWN,137156,15.93,0,45.64,33,credit_card,56,1
34670, 36 months,13.76,E,2 years,RENT,123288,25.26,0,86.64,27,debt_consolidation,56,1
23132, 36 months,14.72,D,6 years,OTHER,26692,16.98,0,61.73,15,debt_consolidation,37,0
5814, 36 months,17.75,C,9 years,RENT,64617,35.81,0,73.8,12,debt_consolidation,47,1
18098, 60 months,15.49,A,5 years,MORTGAGE,69082,19.68,0,1.1,31,debt_consolidation,49,1
16240, 36 months,5.87,D,1 year,OTHER,77496,10.14,2,53.79,34,debt_consolidation,51,1
29660, 60 months,22.43,D,5 years,OWN,103221,19.1,0,36.42,19,credit_card,36,0
14347, 36 months,14.13,A,1 year,MORTGAGE,120175,1.83,0,5.54,14,debt_consolidation,65,0
12172, 36 months,6.54,E,10+ years,OWN,66122,7.81,0,64.61,22,debt_consolidation,53,1
3721, 60 months,20.46,C,5 years,RENT,98660,4.05,2,92.88,26,other,46,1
29405, 60 months,18.2,B,2 years,OTHER,84446,15.14,0,73.28,5,debt_consolidation,49,1
26681, 60 months,17.99,E,6 years,OWN,64366,14.46,1,7.99,38,credit_card,36,0
2401, 60 months,13.54,B,5 years,MORTGAGE,14055,25.85,1,5.67,33,debt_consolidation,39,0
15748, 36 months,13.21,C,5 years,OWN,95554,14.11,0,34.5,14,credit_card,63,0
17310, 36 months,15.73,C,6 years,RENT,83156,5.98,1,23.85,37,credit_card,28,0
16957, 36 months,6.01,A,10+ years,RENT,76688,29.03,0,2.76,34,debt_consolidation,29,0
32243, 36 months,10.98,B,9 years,RENT,35562,0.0,0,4.01,24,debt_consolidation,30,1
6122, 36 months,24.76,A,2 years,RENT,123774,15.35,0,34.51,39,debt_consolidation,70,1
11415, 60 months,18.24,A,2 years,MORTGAGE,69574,16.96,3,13.35,11,debt_consolidation,64,0
7151, 36 months,13.38,D,10+ years,RENT,30759,14.91,1,19.47,16,credit_card,71,0
9298, 36 months,9.45,A,7 years,OTHER,25930,19.5,0,86.95,44,credit_card,37,0
31841, 36 months,19.9,G,< 1 year,RENT,85324,16.0,0,99.37,11,debt_consolidation,39,1
32984, 36 months,10.21,B,5 years,OWN,86217,19.5,1,80.46,38,debt_consolidation,36,1
2518, 36 months,8.25,B,1 year,RENT,51110,9.58,2,23.28,39,debt_consolidation,62,1
22491, 36 months,8.09,F,< 1 year,RENT,78879,1.87,1,17.58,18,debt_consolidation,61,0
8916, 36 months,19.59,C,2 years,OWN,85028,14.58,1,57.85,22,debt_consolidation,70,1
7547, 36 months,17.86,C,2 years,RENT,69198,5.76,0,78.39,42,debt_consolidation,36,1
10930, 60 months,6.4,D,< 1 year,OWN,43960,8.44,0,65.74,16,debt_consolidation,70,0
7609, 36 months,7.3,E,9 years,OWN,93841,25.45,0,80.38,18,major_purchase,72,0
17666, 36 months,17.68,A,4 years,RENT,90129,29.02,1,48.7,3,debt_consolidation,27,1
34850, 36 months,16.42,A,6 years,OWN,82030,25.28,0,98.78,18,debt_consolidation,39,0
20939, 36 months,18.72,G,9 years,RENT,39988,23.62,1,78.69,11,debt_consolidation,30,1
25590, 36 months,8.56,A,9 years,RENT,25069,15.54,0,5.09,11,credit_card,73,1
17771, 60 months,19.53,D,9 years,MORTGAGE,67296,24.14,1,36.41,24,credit_card,47,1
1472, 36 months,23.72,C,2 years,RENT,92887,18.2,0,55.96,35,credit_card,21,0
3859, 36 months,17.02,C,8 years,RENT,96211,32.53,0,22.42,37,debt_consolidation,50,0
10141, 36 months,8.92,E,10+ years,OWN,82531,6.74,0,40.34,18,debt_consolidation,30,1
9284, 60 months,18.59,G,< 1 year,OWN,51486,21.05,0,62.96,24,home_improvement,39,0
29579, 36 months,11.86,A,9 years,MORTGAGE,40874,3.62,0,55.22,6,home_improvement,52,1
29682, 36 months,5.99,C,9 years,MORTGAGE,64494,21.11,1,86.14,14,major_purchase,25,0
30040, 60 months,11.05,D,9 years,MORTGAGE,64778,0.0,1,26.25,16,home_improvement,70,1
22678, 36 months,23.11,B,4 years,OWN,98219,4.08,0,92.11,42,debt_consolidation,44,0
19909, 36 months,13.22,E,2 years,RENT,50609,3.46,0,32.21,38,debt_consolidation,55,1
23071, 36 months,22.29,C,8 years,RENT,53101,17.27,0,92.04,18,credit_card,36,1
14831, 36 months,15.17,A,6 years,MORTGAGE,126650,18.19,0,24.83,10,credit_card,62,0
23786, 60 months,15.34,E,7 years,RENT,111537,37.05,0,50.75,9,debt_consolidation,45,0
28011, 36 months,5.1,F,2 years,RENT,38517,14.18,0,93.22,24,credit_card,48,1
26938, 36 months,17.74,A,1 year,OWN,109063,21.95,1,27.75,42,other,35,1
21870, 36 months,7.16,D,9 years,MORTGAGE,31344,16.45,1,84.88,28,debt_consolidation,31,1
2975, 36 months,14.57,A,5 years,OWN,51978,21.2,0,50.12,19,debt_consolidation,44,0
25648, 60 months,10.21,A,9 years,RENT,55393,16.29,0,41.98,37,debt_consolidation,38,1
13464, 36 months,12.85,B,10+ years,MORTGAGE,62672,24.9,0,66.37,23,debt_consolidation,52,0
26284, 60 months,15.74,E,5 years,RENT,83593,5.53,0,19.86,12,credit_card,52,0
19343, 36 months,5.29,A,2 years,OTHER,68194,0.0,0,65.88,37,credit_card,40,1
30960, 36 months,10.69,A,9 years,RENT,83442,18.76,1,17.66,41,debt_consolidation,28,1
12507, 36 months,24.79,D,7 years,MORTGAGE,52945,0.0,0,71.09,15,home_improvement,32,0
32667, 60 months,6.15,B,7 years,MORTGAGE,76227,26.81,0,61.06,44,debt_consolidation,35,0
29712, 36 months,11.39,A,10+ years,RENT,67369,10.07,2,13.99,25,debt_consolidation,42,1
12257, 36 months,11.43,A,2 years,MORTGAGE,23350,5.66,0,10.07,13,credit_card,61,1
17407, 36 months,12.59,E,3 years,RENT,79490,39.3,1,60.74,39,home_improvement,35,0
19065, 36 months,18.7,C,< 1 year,RENT,67882,14.83,0,12.15,8,debt_consolidation,60,0
27133, 36 months,9.95,D,4 years,RENT,43583,13.11,1,62.51,13,debt_consolidation,24,0
24431, 36 months,14.21,A,4 years,OWN,52255,21.73,1,99.9,18,credit_card,56,1
29968, 60 months,17.9,C,4 years,RENT,52990,22.34,0,12.3,40,major_purchase,55,1
13575, 36 months,11.45,E,1 year,OWN,57652,25.25,0,47.38,42,credit_card,63,0
18162, 36 months,23.98,B,8 years,OTHER,117769,3.0,0,92.44,11,major_purchase,55,1
15649, 36 months,24.59,A,5 years,MORTGAGE,127708,19.82,1,93.71,3,debt_consolidation,38,1
31924, 36 months,7.39,B,4 years,RENT,8000,12.36,1,2.99,38,debt_consolidation,38,0
11369, 36 months,11.88,B,9 years,OWN,79645,6.71,1,80.8,25,debt_consolidation,64,1
20962, 36 months,9.16,A,5 years,RENT,93649,15.43,0,23.85,19,debt_consolidation,72,0
5085, 36 months,8.74,F,9 years,RENT,58518,0.0,0,74.66,3,home_improvement,48,1
29909, 36 months,14.82,C,2 years,MORTGAGE,92843,23.31,0,35.5,26,debt_consolidation,63,1
14063, 60 months,16.28,C,9 years,OTHER,114625,12.38,0,22.49,8,debt_consolidation,74,0
12580, 36 months,13.51,A,10+ years,RENT,23845,10.7,2,47.07,26,credit_card,69,0
20819, 36 months,10.45,C,8 years,RENT,69013,13.76,0,17.59,9,debt_consolidation,22,0
17959, 60 months,10.57,C,9 years,RENT,123702,13.49,0,42.42,11,debt_consolidation,46,1
29831, 60 months,24.84,F,8 years,RENT,27867,25.27,1,39.48,8,credit_card,53,1
19067, 36 months,23.47,B,6 years,RENT,61543,5.14,0,96.29,10,home_improvement,49,1
18577, 36 months,6.52,E,8 years,RENT,51548,11.56,0,54.21,32,debt_consolidation,52,1
4569, 36 months,18.13,B,10+ years,RENT,96557,13.05,1,69.71,32,debt_consolidation,58,0
1745, 36 months,14.14,C,6 years,RENT,100737,5.41,0,17.49,22,debt_consolidation,33,0
14550, 36 months,18.78,F,7 years,MORTGAGE,69870,16.43,0,99.73,37,debt_consolidation,52,0
34939, 36 months,16.94,C,< 1 year,MORTGAGE,65966,8.49,1,49.77,43,debt_consolidation,57,1
32189, 36 months,22.79,D,10+ years,OWN,13426,2.36,2,7.52,8,debt_consolidation,57,1
22385, 36 months,6.34,E,8 years,RENT,107690,19.74,0,60.93,12,home_improvement,52,1
22448, 36 months,11.99,F,1 year,MORTGAGE,54405,28.93,1,31.81,34,credit_card,44,1
14311, 36 months,24.71,A,3 years,RENT,60730,15.44,0,29.39,27,debt_consolidation,40,1
7035, 36 months,8.65,A,2 years,MORTGAGE,94148,14.07,0,31.7,16,debt_consolidation,28,1
1290, 36 months,7.55,C,3 years,RENT,70928,13.88,1,45.04,27,debt_consolidation,61,0
12521, 60 months,19.58,G,9 years,MORTGAGE,95115,10.36,0,28.71,27,small_business,64,0
11759, 36 months,20.55,C,5 years,RENT,83102,25.53,0,77.87,27,home_improvement,74,1
7514, 36 months,18.45,B,4 years,MORTGAGE,71114,15.85,0,17.9,25,home_improvement,41,0
9811, 36 months,20.52,C,8 years,RENT,74313,0.0,0,14.19,4,debt_consolidation,32,0
1843, 36 months,18.87,A,4 years,MORTGAGE,31317,25.79,0,10.45,34,home_improvement,53,1
21670, 36 months,7.72,A,9 years,OWN,60531,23.58,2,41.04,10,debt_consolidation,53,1
32533, 36 months,17.16,A,8 years,RENT,97521,20.41,0,11.29,25,debt_consolidation,40,1
24487, 36 months,20.54,A,2 years,MORTGAGE,38041,0.0,1,2.51,25,debt_consolidation,39,1
